0.10037,0.45192,0.086289
0.11993,0.375,0.09476
0.15904,0.76316,0.10146
0.18025,0.81928,0.12139
0.22266,1.1667,0.11355
0.26743,1.439,0.13564
0.35932,2.0088,0.13451
0.41116,2.1667,0.13846
0.51247,2.6161,0.12636
0.72453,3.4684,0.15689
1.1463,3.4951,0.15356
1.6081,3.6353,0.2035
2.5977,3.2604,0.19379
3.0925,3.5054,0.20088
3.87,3.6933,0.22459
4.1057,4.0615,0.12551
6.0613,4.0263,0.21024
9.9962,4.6557,0.15085
17.772,4.7872,0.1109
29.553,5.3095,0.20542
31.438,5.3365,0.11363
55.706,5.7048,0.19667
73.142,5.6058,0.23036
99.06,5.8044,0.12893
235.72,6.1359,0.22201
