5.000000000000000000e-01,3.052451608982628337e-02,3.214540299323123129e-01,7.301031630958845775e-02,2.840776246425287879e-02,1.324445258360626432e-02,6.114621861723719930e-03
1.000000000000000000e+00,3.501851771381286199e-02,2.958646250691998048e-01,5.868650354980593092e-02,1.980054921610059984e-02,8.163477319872861418e-03,3.596877597375665488e-03
1.500000000000000000e+00,3.891245926642298431e-02,2.664394105240806554e-01,4.499090838583726104e-02,1.276552168638103203e-02,4.432877918762067292e-03,1.684774337754130647e-03
2.000000000000000000e+00,4.241814589389519830e-02,2.371411161449211158e-01,3.380770332114556992e-02,8.014513777929565402e-03,2.320450026584178812e-03,7.419691608859207803e-04
2.500000000000000000e+00,4.561498281364762680e-02,2.095762009715293750e-01,2.515024449141125412e-02,4.976970299150830675e-03,1.199862299533485796e-03,3.204886555261694911e-04
3.000000000000000000e+00,4.854476139892203307e-02,1.844338116641468239e-01,1.862387260903996047e-02,3.080356869065979577e-03,6.193120475412121871e-04,1.380761159961234026e-04
3.500000000000000000e+00,5.123673562679888216e-02,1.619284618069375403e-01,1.377437810145833511e-02,1.908670952818121609e-03,3.208966109296880627e-04,5.982658279191637601e-05
4.000000000000000000e+00,5.371549878176654774e-02,1.420212732017255564e-01,1.019787624737660166e-02,1.187365278942199755e-03,1.674838148159527561e-04,2.618868425686065592e-05
4.500000000000000000e+00,5.600337650401067402e-02,1.245442905638024372e-01,7.568663770022285298e-03,7.429304912757793249e-04,8.823520290734295749e-05,1.161206431192677262e-05
5.000000000000000000e+00,5.812096908063812267e-02,1.092719913330935377e-01,5.636608874263496216e-03,4.680768300194542591e-04,4.698068273750104305e-05,5.222990488445153105e-06
5.500000000000000000e+00,6.008714462276529278e-02,9.596196903439092873e-02,4.214755946813539614e-03,2.971566593800373051e-04,2.529928572732284721e-05,2.384886872317831801e-06
6.000000000000000000e+00,6.191895109118789042e-02,8.437722967699679000e-02,3.165512154017871907e-03,1.901554000926760691e-04,1.378302431599720533e-05,1.105793317438841701e-06
6.500000000000000000e+00,6.363159077189080304e-02,7.429753011998507795e-02,2.388469819439552506e-03,1.226722065852397126e-04,7.597124679228238027e-06,5.206186492559718036e-07
7.000000000000000000e+00,6.523847745403089926e-02,6.552428574183077892e-02,1.810652922676436608e-03,7.977953593031645197e-05,4.236097390045989696e-06,2.488264473370624819e-07
7.500000000000000000e+00,6.675135643359707271e-02,5.788181340333193453e-02,1.379081478340127807e-03,5.229902741785492817e-05,2.388837887441192152e-06,1.206806217082882577e-07
8.000000000000000000e+00,6.818046052211956809e-02,5.121658631639549458e-02,1.055258770434091414e-03,3.455191990550452163e-05,1.361980499965987006e-06,5.936629109756285013e-08
8.500000000000000000e+00,6.953467976454975885e-02,4.539550151410491619e-02,8.111497242846850116e-04,2.300003342542320607e-05,7.847990732665788564e-07,2.960605859571640155e-08
