0.01,0,0,0.002,0.002,0.000999,0.001996,0.000999,0,0,0,0,0
0.0105,0,0.000999,0.001996,0.000999,0,0.001996,0.002999,0.000999,0,0,0,0
0.0111,0.000999,0.000999,0.002,0.002,0.000999,0.002,0.000999,0,0,0.002,0.002999,0.000999
0.0116,0.000999,0.000999,0,0,0,0.000999,0.002,0.002,0.000999,0,0.000999,0.000999
0.0123,0.000999,0.002,0.000999,0.000999,0.000999,0.000999,0.000999,0.000999,0.000999,0.002,0.002999,0.000999
0.0129,0,0,0,0.000999,0.002,0.001996,0.000999,0,0,0.000999,0.002991,0.001996
0.0136,0,0,0,0.002,0.004,0.003996,0.001996,0.000999,0.000999,0,0,0
0.0143,0.002999,0.004999,0.001996,0.000999,0.000999,0,0,0.001996,0.003984,0.004999,0.003984,0.000999
0.015,0.000999,0.000999,0.000999,0.000999,0,0,0.000999,0.000999,0,0.000999,0.00201,0.001009
0.0158,0.000999,0.000999,0.002,0.002,0.000999,0.002999,0.003996,0.001996,0.002,0.002,0,0
0.0166,0.002,0.002999,0.000999,0.002999,0.003996,0.002,0.002999,0.004,0.004991,0.004,0.002999,0.002
0.0175,0,0,0.004,0.004,0.001996,0.002991,0.000999,0.002,0.002999,0.00202,0.0019962,0.00097904
0.0184,0.000999,0.002999,0.002999,0.000999,0,0,0.002991,0.002991,0.000999,0.002,0.002,0.000999
0.0194,0,0.001996,0.006975,0.005996,0.002999,0.002999,0.001996,0.002999,0.002999,0.001996,0.002,0.000999
0.0204,0.001996,0.002991,0.002991,0.001996,0.000999,0.003996,0.002999,0.002991,0.002991,0.002,0.002,0
0.0215,0.002999,0.004991,0.002999,0.002,0.003984,0.003996,0.0033195,0.0049973,0.0056412,0.0032509,0.0022958,0.0021358
0.0226,0.005996,0.006999,0.004,0.005996,0.007996,0.006999,0.002999,0.001996,0.002999,0.003996,0.002999,0.000999
0.0238,0.000999,0.000999,0.004,0.005996,0.001996,0.000999,0.002999,0.004991,0.0063047,0.0059931,0.0036999,0.001189
0.025,0,0.002,0.006,0.008999,0.011009,0.008999,0.0049809,0.005996,0.004,0.002999,0.007996,0.004991
0.0263,0.002999,0.0057071,0.00613,0.0057048,0.006267,0.0050009,0.0060142,0.0050111,0.0050009,0.00401,0.00602,0.005019
0.0277,0.002999,0.002999,0.003996,0.008991,0.010991,0.007984,0.004999,0.005996,0.006,0.006,0.006991,0.003996
0.0291,0.002999,0.006991,0.008991,0.007964,0.009964,0.008975,0.0048787,0.0062053,0.005159,0.0051489,0.0071889,0.0041056
0.0306,0.002999,0.005996,0.006991,0.008999,0.01,0.007996,0.004975,0.0089691,0.010991,0.0080259,0.007009,0.003009
0.0322,0.003996,0.006991,0.008991,0.006999,0.008,0.010991,0.013984,0.015158,0.010359,0.0059483,0.00422,0.003089
0.0339,0.006,0.008999,0.005996,0.006991,0.008999,0.006,0.005996,0.013984,0.009984,0.006006,0.006026,0.001019
0.0357,0.006975,0.009984,0.007996,0.006,0.006999,0.010999,0.008,0.008999,0.011996,0.010999,0.0090516,0.0040162
0.0375,0.003984,0.008991,0.01,0.012975,0.014975,0.014951,0.011424,0.0092391,0.0083454,0.0085855,0.0095793,0.0032185
0.0395,0.010975,0.018975,0.016999,0.016,0.009984,0.005984,0.005996,0.012606,0.01508,0.0083561,0.013301,0.010124
0.0416,0.006991,0.014975,0.012999,0.012991,0.015996,0.012,0.006991,0.01574,0.02298,0.014257,0.0082,0.00408
0.0437,0.008991,0.014999,0.017996,0.018951,0.014951,0.013996,0.011996,0.012951,0.013483,0.014201,0.012279,0.0048281
0.046,0.007984,0.012975,0.013984,0.022999,0.024919,0.019475,0.013273,0.013206,0.018295,0.017993,0.0166,0.00859
0.0484,0.010991,0.02,0.013984,0.013996,0.015984,0.017009,0.01559,0.0138,0.017635,0.017014,0.01452,0.0073124
0.051,0.013996,0.021996,0.019793,0.019003,0.012388,0.018096,0.025082,0.020976,0.018236,0.015369,0.02077,0.013408
0.0536,0.010999,0.02,0.027964,0.029789,0.024503,0.020868,0.020192,0.019014,0.020606,0.02768,0.026689,0.010866
0.0564,0.006999,0.020991,0.023984,0.021996,0.020975,0.020951,0.02367,0.027037,0.031107,0.027708,0.01884,0.0087444
0.0594,0.009996,0.016999,0.02,0.019936,0.018919,0.025591,0.02597,0.018606,0.018519,0.024006,0.028795,0.01448
