0.01,0.00037,0.00071,0.00072,0.00072,0.00074998,0.00083,0.00083,0.00041
0.0105,0.00036,0.00083,0.00083,0.00087998,0.00086998,0.00073,0.00084,0.00046
0.0111,0.00036,0.00091,0.00101,0.00107,0.00107,0.00098,0.00097,0.00045
0.0116,0.00054,0.00106,0.00118,0.00116,0.00107,0.0012,0.00106,0.00043
0.0123,0.00057999,0.00127,0.00124,0.00109,0.00103,0.00107,0.00102,0.00044
0.0129,0.00052997,0.0012,0.00139,0.00131,0.00142,0.00141,0.00121,0.00063
0.0136,0.00081998,0.0015499,0.00144,0.00141,0.00143,0.00139,0.0014,0.00075999
0.0143,0.00071994,0.00164,0.00178,0.00157,0.00149,0.00161,0.00158,0.00075
0.015,0.00081998,0.00162,0.0017,0.00193,0.00196,0.00176,0.00168,0.00087
0.0158,0.00103,0.00205,0.00204,0.0018999,0.0018499,0.0020099,0.00199,0.00095
0.0166,0.00112,0.00225,0.0024299,0.0023699,0.00226,0.00228,0.00211,0.00104
0.0175,0.00132,0.00255,0.00254,0.00239,0.00233,0.00241,0.00236,0.00122
0.0184,0.00143,0.00277,0.00259,0.00261,0.00288,0.00264,0.00249,0.00137
0.0194,0.00157,0.00327,0.00319,0.00298,0.0028,0.0028699,0.00289,0.00133
0.0204,0.00146,0.00308,0.00314,0.00318,0.00342,0.0036,0.0035999,0.00176
0.0215,0.00182,0.0037499,0.0036299,0.00364,0.00406,0.0040699,0.00376,0.00177
0.0226,0.00204,0.00378,0.00389,0.0043099,0.00425,0.00426,0.0042098,0.0020399
0.0238,0.0023599,0.00508,0.0047699,0.0039798,0.0038398,0.00402,0.00477,0.00264
0.025,0.00272,0.00525,0.00489,0.00474,0.00469,0.0046499,0.0048,0.00252
0.0263,0.00268,0.00532,0.0054999,0.00567,0.00576,0.00556,0.0053699,0.00276
0.0277,0.00299,0.0064,0.0066197,0.0062598,0.0059198,0.0062499,0.00624,0.00292
0.0291,0.00358,0.00707,0.0067899,0.0067197,0.0068497,0.0066898,0.0062799,0.00304
0.0306,0.00381,0.00746,0.0073098,0.0074494,0.0075899,0.00778,0.00773,0.00373
0.0322,0.00388,0.00815,0.0085499,0.00842,0.0081599,0.0078199,0.00785,0.00409
0.0339,0.00471,0.0092599,0.00903,0.0089398,0.0090198,0.0094,0.00938,0.0046199
0.0357,0.00528,0.01069,0.01037,0.01019,0.01045,0.0104,0.01018,0.00498
0.0375,0.0058099,0.01139,0.01112,0.01105,0.0113,0.01151,0.01135,0.00551
0.0395,0.00583,0.01177,0.01238,0.01276,0.01253,0.01202,0.01214,0.00637
0.0416,0.00671,0.01314,0.01302,0.01309,0.01289,0.01304,0.01336,0.0067699
0.0437,0.00767,0.0153,0.0149,0.01515,0.015219,0.01496,0.01469,0.0072699
0.046,0.0084599,0.01691,0.0167,0.01595,0.01603,0.0168,0.01705,0.0084999
0.0484,0.0092,0.01841,0.0181,0.018,0.01822,0.01774,0.017749,0.0090596
0.051,0.01046,0.02007,0.019339,0.02011,0.01999,0.01981,0.019719,0.0096799
0.0536,0.01127,0.02297,0.02297,0.02231,0.02252,0.02242,0.02181,0.01083
0.0564,0.01248,0.02448,0.02399,0.02369,0.02413,0.0244,0.02439,0.01206
0.0594,0.01427,0.02855,0.02767,0.02645,0.026759,0.02723,0.02715,0.0134
0.0625,0.01518,0.02956,0.02906,0.02899,0.02941,0.03021,0.030758,0.015649
0.0657,0.01714,0.03359,0.032999,0.032449,0.03189,0.03207,0.032629,0.016409
0.0692,0.01842,0.03626,0.035329,0.03524,0.034929,0.035909,0.03698,0.01859
0.0728,0.02027,0.04127,0.04091,0.04041,0.040599,0.039869,0.03854,0.01907
0.0766,0.02346,0.04661,0.04562,0.04294,0.043258,0.043939,0.04329,0.02198
0.0806,0.02624,0.051309,0.049487,0.04722,0.047269,0.047619,0.04774,0.02447
0.0848,0.02834,0.056169,0.05452,0.05243,0.05265,0.05294,0.0533,0.02689
0.0892,0.03194,0.06227,0.05884,0.05713,0.05649,0.05666,0.05719,0.029019
0.0938,0.03387,0.06725,0.0651,0.062198,0.0631,0.06267,0.062779,0.03217
0.0987,0.03841,0.07566,0.071669,0.06908,0.06921,0.06848,0.068449,0.035059
0.1039,0.0414,0.081039,0.07868,0.0771,0.07611,0.075749,0.07582,0.03782
0.1093,0.04604,0.08973,0.08514,0.08208,0.08184,0.08088,0.08174,0.04153
0.115,0.05131,0.09974,0.09468,0.09007,0.089389,0.08981,0.08851,0.04427
0.121,0.058878,0.11307,0.10441,0.0979,0.09781,0.097699,0.09692,0.04849
0.1274,0.061487,0.12072,0.11281,0.10681,0.10649,0.10557,0.10516,0.05411
0.134,0.06979,0.13389,0.12404,0.11659,0.11554,0.11407,0.11656,0.060079
0.141,0.076937,0.14641,0.13258,0.12469,0.12487,0.12443,0.12409,0.063069
0.1484,0.0842,0.16096,0.14586,0.13521,0.13508,0.13333,0.13485,0.06908
0.1561,0.093528,0.1754,0.15777,0.14626,0.14389,0.14311,0.14241,0.07218
0.1643,0.10151,0.19186,0.17025,0.1567,0.15559,0.15475,0.15527,0.07846
0.1728,0.11358,0.21282,0.18826,0.1701,0.16738,0.16749,0.16773,0.08648
0.1818,0.12106,0.22578,0.19793,0.17875,0.17786,0.17476,0.17882,0.093099
0.1913,0.13606,0.25149,0.21433,0.19207,0.18996,0.18904,0.19076,0.0991
0.2013,0.1479,0.27213,0.23225,0.20662,0.20344,0.20143,0.20325,0.10381
0.2118,0.16273,0.29606,0.24902,0.2157,0.21462,0.21478,0.21595,0.1116
0.2229,0.18052,0.32178,0.26642,0.22744,0.22442,0.2279,0.22932,0.1181
0.2345,0.19609,0.34963,0.28508,0.23967,0.23651,0.23558,0.23883,0.12649
0.2468,0.21137,0.37318,0.30102,0.2526,0.25087,0.25061,0.25089,0.13024
0.2597,0.23215,0.40259,0.32143,0.26456,0.26249,0.26167,0.2604,0.13483
0.2732,0.2526,0.43205,0.34413,0.27549,0.27018,0.27327,0.27563,0.1427
0.2875,0.27586,0.46384,0.36244,0.28962,0.28079,0.27973,0.28401,0.14858
0.3025,0.30141,0.49636,0.37681,0.29817,0.29355,0.2895,0.29517,0.15566
0.3183,0.32315,0.52985,0.40052,0.30876,0.30333,0.30191,0.30568,0.15987
0.3349,0.35395,0.56156,0.41653,0.31766,0.3116,0.31226,0.31648,0.16682
0.3524,0.37865,0.59301,0.43872,0.32739,0.32361,0.32446,0.32861,0.17215
