0.023996,0.015984
0.023996,0.015984
0.026023,0.018785
0.02822,0.022074
0.030604,0.025935
0.033188,0.030467
0.035991,0.035784
0.039031,0.042019
0.042327,0.049326
0.045902,0.057886
0.049779,0.067906
0.053983,0.079626
0.058542,0.093319
0.063486,0.1093
0.068848,0.12792
0.074662,0.1496
0.080968,0.17476
0.087806,0.20393
0.095221,0.23762
0.10326,0.27644
0.11198,0.32097
0.12144,0.37183
0.1317,0.42959
0.14282,0.49477
0.15488,0.56772
0.16796,0.6486
0.18215,0.73722
0.19753,0.83295
0.21421,0.93457
0.2323,1.0402
0.25192,1.1471
0.2732,1.2518
0.29627,1.3504
0.32129,1.4387
0.34843,1.5134
0.37785,1.5728
0.40977,1.6187
0.44437,1.6568
0.4819,1.6978
0.5226,1.7562
0.56674,1.8479
0.6146,1.9869
0.66651,2.1815
0.7228,2.4328
0.78384,2.7359
0.85004,3.0823
0.92183,3.464
0.99968,3.8784
1.0841,4.3297
1.1757,4.8195
1.275,5.3239
1.3826,5.7861
1.4994,6.1535
1.626,6.4274
1.7634,6.6494
1.9123,6.8234
2.0738,6.9068
2.2489,6.8563
2.3996,6.7515
2.4388,6.7281
2.6448,6.6687
2.8682,6.6451
3.1104,6.5504
3.3731,6.3586
3.658,6.4854
3.9669,7.3681
4.3019,8.4084
4.6652,8.1995
4.7992,7.9022
5.0592,7.5207
5.4865,7.7053
5.9499,8.2943
6.4524,8.2037
6.9973,7.7468
7.5883,8.2651
8.2291,9.2763
8.9241,8.5698
9.5985,7.8752
9.6778,7.8916
10.495,8.406
11.381,8.1238
12.343,8.8426
13.385,8.8657
14.516,8.6318
15.741,8.9063
17.071,9.0081
18.513,8.596
19.197,8.3865
20.076,8.769
21.772,8.861
23.61,8.8069
25.604,9.0487
27.767,8.6473
28.795,9.1214
30.112,9.0805
32.655,9.0586
35.412,8.8052
38.394,9.3864
38.403,9.3804
41.647,8.8906
45.164,9.2465
47.992,8.8938
48.978,9.063
53.114,9.1549
57.6,9.045
62.465,9.1073
67.74,9.1327
73.461,9.2048
79.665,9.1291
86.393,9.2107
93.69,9.1702
101.6,9.1786
110.18,9.2244
119.49,9.2133
129.58,9.2016
140.52,9.2324
152.39,9.1088
165.26,9.2075
179.22,9.3191
194.35,9.1801
210.77,9.1957
228.57,9.2515
247.87,9.1884
268.81,9.2
291.51,9.1863
316.13,9.2127
342.82,9.2162
371.78,9.2916
403.18,9.2231
437.23,9.0832
474.15,9.224
514.2,9.205
557.62,9.1305
604.71,9.2217
655.79,9.3101
711.17,9.2536
771.23,9.2146
836.36,9.2108
907,9.1436
983.6,9.1344
1066.7,9.2022
1156.8,9.2087
1254.4,9.1895
1360.4,9.2471
1475.3,9.2455
1599.9,9.152
1735,9.2256
1881.5,9.2424
2040.4,9.216
2212.7,9.1753
2399.6,9.1247
