0.10037,0.76692,0.33322
0.11993,0.70937,0.32587
0.15904,1.1632,0.39632
0.18025,1.2083,0.40092
0.22266,1.3796,0.36226
0.26743,1.4902,0.39125
0.35932,2.0265,0.33556
0.41116,1.5913,0.25067
0.51247,1.7722,0.30762
0.72453,1.9199,0.31393
1.1463,2.4053,0.35428
1.6081,3.4788,0.57413
2.5977,3.5676,0.7973
3.0925,3.7123,0.68882
3.87,3.7326,0.59533
4.1057,5.1039,0.5762
6.0613,3.3151,0.77157
9.9962,4.8012,0.5782
17.772,6.5178,0.52331
29.553,7.0471,0.90758
31.438,6.7784,0.48418
55.706,8.0843,0.84878
73.142,7.2169,0.88799
99.06,7.5464,0.62242
235.72,9.0196,1.1825
