0.5,8.0837
1,7.8086
1.5,7.287
1.78,6.864
2,6.5398
2.06,6.4726
2.34,6.0131
2.62,5.6584
2.9,5.2581
3,5.1878
4,3.5476
4.8,2.7278
5.75,2.2453
6.8,1.7145
7.95,1.263
8.9,1.0205
